Name,Year,Gender,Count
Alice,1897,F,2431
Alice,1897,M,17
Alice,1898,F,2846
Alice,1898,M,12
Alice,1899,F,2523
Alice,1899,M,7
Alice,1900,F,3059
Alice,1900,M,8
Alice,1901,F,2562
Alice,1901,M,10
Alice,1902,F,3135
Alice,1902,M,12
Alice,1903,F,2996
Alice,1903,M,9
Alice,1904,F,3131
Alice,1904,M,9
Alice,1905,F,3611
Alice,1905,M,15
Alice,1906,F,4192
Alice,1906,M,20
Alice,1907,F,4107
Alice,1907,M,14
Alice,1908,F,4270
Alice,1908,M,11
Alice,1909,F,4170
Alice,1909,M,15
Alice,1910,F,4671
Alice,1910,M,15
Alice,1911,F,4812
Alice,1911,M,15
Alice,1912,F,6285
Alice,1912,M,23
Alice,1913,F,6933
Alice,1913,M,24
Alice,1914,F,8197
Alice,1914,M,30
Alice,1915,F,10525
Alice,1915,M,27
Alice,1916,F,10719
Alice,1916,M,30
Alice,1917,F,10990
Alice,1917,M,25
Alice,1918,F,11590
Alice,1918,M,34
Alice,1919,F,11141
Alice,1919,M,28
Alice,1920,F,11596
Alice,1920,M,28
Alice,1921,F,11956
Alice,1921,M,35
Alice,1922,F,11274
Alice,1922,M,29
Alice,1923,F,11331
Alice,1923,M,27
Alice,1924,F,11540
Alice,1924,M,39
Alice,1925,F,11571
Alice,1925,M,51
Alice,1926,F,10953
Alice,1926,M,49
Alice,1927,F,10677
Alice,1927,M,43
Alice,1928,F,10139
Alice,1928,M,37
Alice,1929,F,9477
Alice,1929,M,47
Alice,1930,F,9517
Alice,1930,M,51
Alice,1931,F,8815
Alice,1931,M,43
Alice,1932,F,8534
Alice,1932,M,50
Alice,1933,F,7694
Alice,1933,M,40
Alice,1934,F,7781
Alice,1934,M,36
Alice,1935,F,7445
Alice,1935,M,38
Alice,1936,F,7198
Alice,1936,M,37
Alice,1937,F,7124
Alice,1937,M,41
Alice,1938,F,7487
Alice,1938,M,31
Alice,1939,F,7369
Alice,1939,M,31
Alice,1940,F,7601
Alice,1940,M,34
Alice,1941,F,7446
Alice,1941,M,39
Alice,1942,F,7378
Alice,1942,M,34
Alice,1943,F,7647
Alice,1943,M,32
Alice,1944,F,7103
Alice,1944,M,27
Alice,1945,F,6358
Alice,1945,M,25
Alice,1946,F,7364
Alice,1946,M,18
Alice,1947,F,7846
Alice,1947,M,21
Alice,1948,F,6981
Alice,1948,M,16
Alice,1949,F,6658
Alice,1949,M,13
Alice,1950,F,6361
Alice,1950,M,14
Alice,1951,F,6315
Alice,1951,M,19
Alice,1952,F,5913
Alice,1952,M,19
Alice,1953,F,5745
Alice,1953,M,24
Alice,1954,F,5265
Alice,1954,M,10
Alice,1955,F,5071
Alice,1955,M,11
Alice,1956,F,4682
Alice,1956,M,7
Alice,1957,F,4433
Alice,1957,M,21
Alice,1958,F,4127
Alice,1958,M,19
Alice,1959,F,4154
Alice,1959,M,12
Alice,1960,F,4048
Alice,1960,M,12
Alice,1961,F,3583
Alice,1961,M,11
Alice,1962,F,3254
Alice,1962,M,11
Alice,1963,F,3065
Alice,1963,M,12
Alice,1964,F,2839
Alice,1964,M,8
Alice,1965,F,2568
Alice,1965,M,14
Alice,1966,F,2221
Alice,1966,M,8
Alice,1967,F,1929
Alice,1967,M,5
Alice,1968,F,1730
Alice,1968,M,7
Alice,1969,F,1716
Alice,1969,M,7
Alice,1970,F,1620
Alice,1971,F,1506
Alice,1971,M,5
Alice,1972,F,1199
Alice,1972,M,7
Alice,1973,F,1187
Alice,1974,F,1179
Alice,1974,M,12
Alice,1975,F,1055
Alice,1975,M,5
Alice,1976,F,954
Alice,1976,M,5
Alice,1977,F,858
Alice,1978,F,791
Alice,1978,M,8
Alice,1979,F,776
Alice,1979,M,10
Alice,1980,F,738
Alice,1981,F,745
Alice,1982,F,747
Alice,1982,M,7
Alice,1983,F,699
Alice,1983,M,6
Alice,1984,F,686
Alice,1985,F,667
Alice,1985,M,8
Alice,1986,F,706
Alice,1987,F,769
Alice,1988,F,821
Alice,1988,M,5
Alice,1989,F,741
Alice,1989,M,14
Alice,1990,F,771
Alice,1991,F,723
Alice,1992,F,686
Alice,1993,F,683
Alice,1993,M,6
Alice,1994,F,594
Alice,1995,F,579
Alice,1996,F,592
Alice,1997,F,578
Alice,1998,F,593
Alice,1999,F,650
Alice,2000,F,668
Alice,2001,F,631
Alice,2002,F,654
Alice,2003,F,699
Alice,2004,F,755
Alice,2005,F,753
Alice,2006,F,843
Alice,2007,F,949
Alice,2008,F,1023
Alice,2009,F,1273
Alice,2010,F,1778
Alice,2011,F,2191
Alice,2012,F,2495
Alice,2012,M,5
Alice,2013,F,2928
Alice,2014,F,3042
Elizabeth,1880,F,1939
Elizabeth,1880,M,9
Elizabeth,1881,F,1852
Elizabeth,1882,F,2187
Elizabeth,1882,M,7
Elizabeth,1883,F,2255
Elizabeth,1883,M,13
Elizabeth,1884,F,2549
Elizabeth,1884,M,16
Elizabeth,1885,F,2582
Elizabeth,1885,M,9
Elizabeth,1886,F,2680
Elizabeth,1886,M,11
Elizabeth,1887,F,2681
Elizabeth,1887,M,14
Elizabeth,1888,F,3224
Elizabeth,1888,M,12
Elizabeth,1889,F,3058
Elizabeth,1889,M,16
Elizabeth,1890,F,3112
Elizabeth,1890,M,12
Elizabeth,1891,F,3059
Elizabeth,1891,M,6
Elizabeth,1892,F,3461
Elizabeth,1892,M,8
Elizabeth,1893,F,3360
Elizabeth,1893,M,12
Elizabeth,1894,F,3425
Elizabeth,1894,M,10
Elizabeth,1895,F,3603
Elizabeth,1895,M,17
Elizabeth,1896,F,3471
Elizabeth,1896,M,11
Elizabeth,1897,F,3442
Elizabeth,1897,M,12
Elizabeth,1898,F,3659
Elizabeth,1898,M,15
Elizabeth,1899,F,3287
Elizabeth,1899,M,13
Elizabeth,1900,F,4096
Elizabeth,1900,M,16
Elizabeth,1901,F,3216
Elizabeth,1901,M,9
Elizabeth,1902,F,3694
Elizabeth,1902,M,21
Elizabeth,1903,F,3723
Elizabeth,1903,M,11
Elizabeth,1904,F,3833
Elizabeth,1904,M,13
Elizabeth,1905,F,4121
Elizabeth,1905,M,13
Elizabeth,1906,F,4321
Elizabeth,1906,M,15
Elizabeth,1907,F,4624
Elizabeth,1907,M,13
Elizabeth,1908,F,4904
Elizabeth,1908,M,11
Elizabeth,1909,F,5176
Elizabeth,1909,M,13
Elizabeth,1910,F,5799
Elizabeth,1910,M,17
Elizabeth,1911,F,6298
Elizabeth,1911,M,18
Elizabeth,1912,F,8528
Elizabeth,1912,M,23
Elizabeth,1913,F,9505
Elizabeth,1913,M,24
Elizabeth,1914,F,11366
Elizabeth,1914,M,27
Elizabeth,1915,F,14103
Elizabeth,1915,M,27
Elizabeth,1916,F,14939
Elizabeth,1916,M,40
Elizabeth,1917,F,15130
Elizabeth,1917,M,31
Elizabeth,1918,F,15852
Elizabeth,1918,M,37
Elizabeth,1919,F,15288
Elizabeth,1919,M,19
Elizabeth,1920,F,15909
Elizabeth,1920,M,34
Elizabeth,1921,F,15800
Elizabeth,1921,M,35
Elizabeth,1922,F,15241
Elizabeth,1922,M,30
Elizabeth,1923,F,15463
Elizabeth,1923,M,41
Elizabeth,1924,F,14949
Elizabeth,1924,M,42
Elizabeth,1925,F,13932
Elizabeth,1925,M,37
Elizabeth,1926,F,12833
Elizabeth,1926,M,54
Elizabeth,1927,F,12528
Elizabeth,1927,M,56
Elizabeth,1928,F,11763
Elizabeth,1928,M,44
Elizabeth,1929,F,11251
Elizabeth,1929,M,61
Elizabeth,1930,F,10993
Elizabeth,1930,M,48
Elizabeth,1931,F,10294
Elizabeth,1931,M,48
Elizabeth,1932,F,9993
Elizabeth,1932,M,54
Elizabeth,1933,F,9016
Elizabeth,1933,M,38
Elizabeth,1934,F,9342
Elizabeth,1934,M,43
Elizabeth,1935,F,9074
Elizabeth,1935,M,41
Elizabeth,1936,F,8862
Elizabeth,1936,M,47
Elizabeth,1937,F,9385
Elizabeth,1937,M,50
Elizabeth,1938,F,9801
Elizabeth,1938,M,44
Elizabeth,1939,F,9705
Elizabeth,1939,M,50
Elizabeth,1940,F,9953
Elizabeth,1940,M,52
Elizabeth,1941,F,10268
Elizabeth,1941,M,48
Elizabeth,1942,F,11182
Elizabeth,1942,M,52
Elizabeth,1943,F,11650
Elizabeth,1943,M,37
Elizabeth,1944,F,11032
Elizabeth,1944,M,33
Elizabeth,1945,F,10336
Elizabeth,1945,M,25
Elizabeth,1946,F,11751
Elizabeth,1946,M,22
Elizabeth,1947,F,13443
Elizabeth,1947,M,33
Elizabeth,1948,F,13209
Elizabeth,1948,M,30
Elizabeth,1949,F,13709
Elizabeth,1949,M,26
Elizabeth,1950,F,14343
Elizabeth,1950,M,29
Elizabeth,1951,F,15103
Elizabeth,1951,M,31
Elizabeth,1952,F,16020
Elizabeth,1952,M,29
Elizabeth,1953,F,16091
Elizabeth,1953,M,33
Elizabeth,1954,F,16587
Elizabeth,1954,M,41
Elizabeth,1955,F,16687
Elizabeth,1955,M,42
Elizabeth,1956,F,16344
Elizabeth,1956,M,32
Elizabeth,1957,F,17497
Elizabeth,1957,M,35
Elizabeth,1958,F,18530
Elizabeth,1958,M,47
Elizabeth,1959,F,18436
Elizabeth,1959,M,46
Elizabeth,1960,F,18857
Elizabeth,1960,M,59
Elizabeth,1961,F,18849
Elizabeth,1961,M,65
Elizabeth,1962,F,17799
Elizabeth,1962,M,47
Elizabeth,1963,F,17590
Elizabeth,1963,M,52
Elizabeth,1964,F,17286
Elizabeth,1964,M,48
Elizabeth,1965,F,16319
Elizabeth,1965,M,56
Elizabeth,1966,F,15890
Elizabeth,1966,M,51
Elizabeth,1967,F,16113
Elizabeth,1967,M,52
Elizabeth,1968,F,14891
Elizabeth,1968,M,53
Elizabeth,1969,F,15299
Elizabeth,1969,M,62
Elizabeth,1970,F,15120
Elizabeth,1970,M,67
Elizabeth,1971,F,13603
Elizabeth,1971,M,64
Elizabeth,1972,F,12185
Elizabeth,1972,M,55
Elizabeth,1973,F,12360
Elizabeth,1973,M,52
Elizabeth,1974,F,12258
Elizabeth,1974,M,62
Elizabeth,1975,F,12473
Elizabeth,1975,M,51
Elizabeth,1976,F,13551
Elizabeth,1976,M,62
Elizabeth,1977,F,16425
Elizabeth,1977,M,63
Elizabeth,1978,F,16808
Elizabeth,1978,M,70
Elizabeth,1979,F,18076
Elizabeth,1979,M,82
Elizabeth,1980,F,19528
Elizabeth,1980,M,78
Elizabeth,1981,F,20171
Elizabeth,1981,M,90
Elizabeth,1982,F,20506
Elizabeth,1982,M,88
Elizabeth,1983,F,19838
Elizabeth,1983,M,102
Elizabeth,1984,F,20362
Elizabeth,1984,M,94
Elizabeth,1985,F,20539
Elizabeth,1985,M,105
Elizabeth,1986,F,19065
Elizabeth,1986,M,95
Elizabeth,1987,F,18601
Elizabeth,1987,M,106
Elizabeth,1988,F,20025
Elizabeth,1988,M,102
Elizabeth,1989,F,20291
Elizabeth,1989,M,140
Elizabeth,1990,F,20742
Elizabeth,1990,M,91
Elizabeth,1991,F,20391
Elizabeth,1991,M,66
Elizabeth,1992,F,19028
Elizabeth,1992,M,52
Elizabeth,1993,F,17551
Elizabeth,1993,M,55
Elizabeth,1994,F,16776
Elizabeth,1994,M,44
Elizabeth,1995,F,16183
Elizabeth,1995,M,44
Elizabeth,1996,F,15990
Elizabeth,1996,M,26
Elizabeth,1997,F,15411
Elizabeth,1997,M,30
Elizabeth,1998,F,15178
Elizabeth,1998,M,23
Elizabeth,1999,F,15331
Elizabeth,1999,M,22
Elizabeth,2000,F,15088
Elizabeth,2000,M,22
Elizabeth,2001,F,14780
Elizabeth,2001,M,12
Elizabeth,2002,F,14592
Elizabeth,2002,M,21
Elizabeth,2003,F,14094
Elizabeth,2003,M,31
Elizabeth,2004,F,13550
Elizabeth,2004,M,63
Elizabeth,2005,F,12719
Elizabeth,2005,M,24
Elizabeth,2006,F,12415
Elizabeth,2006,M,17
Elizabeth,2007,F,13035
Elizabeth,2007,M,18
Elizabeth,2008,F,11986
Elizabeth,2008,M,13
Elizabeth,2009,F,11020
Elizabeth,2009,M,13
Elizabeth,2010,F,10242
Elizabeth,2010,M,8
Elizabeth,2011,F,10062
Elizabeth,2011,M,19
Elizabeth,2012,F,9674
Elizabeth,2012,M,8
Elizabeth,2013,F,9413
Elizabeth,2013,M,12
Elizabeth,2014,F,9492
Elizabeth,2014,M,6
Stella,1880,F,414
Stella,1881,F,416
Stella,1882,F,506
Stella,1883,F,529
Stella,1884,F,584
Stella,1885,F,649
Stella,1885,M,5
Stella,1886,F,702
Stella,1887,F,664
Stella,1888,F,775
Stella,1889,F,891
Stella,1890,F,924
Stella,1890,M,5
Stella,1891,F,867
Stella,1891,M,5
Stella,1892,F,972
Stella,1893,F,926
Stella,1893,M,6
Stella,1894,F,1035
Stella,1895,F,1026
Stella,1896,F,1054
Stella,1896,M,5
Stella,1897,F,966
Stella,1897,M,5
Stella,1898,F,1062
Stella,1899,F,975
Stella,1900,F,1177
Stella,1900,M,6
Stella,1901,F,928
Stella,1901,M,6
Stella,1902,F,1075
Stella,1903,F,1016
Stella,1903,M,5
Stella,1904,F,1026
Stella,1904,M,5
Stella,1905,F,1097
Stella,1906,F,1141
Stella,1907,F,1150
Stella,1907,M,6
Stella,1908,F,1215
Stella,1908,M,6
Stella,1909,F,1188
Stella,1909,M,7
Stella,1910,F,1319
Stella,1911,F,1422
Stella,1912,F,1834
Stella,1912,M,10
Stella,1913,F,2205
Stella,1913,M,9
Stella,1914,F,2771
Stella,1914,M,6
Stella,1915,F,3657
Stella,1916,F,3818
Stella,1916,M,11
Stella,1917,F,3872
Stella,1917,M,8
Stella,1918,F,3927
Stella,1918,M,8
Stella,1919,F,3700
Stella,1919,M,8
Stella,1920,F,3492
Stella,1920,M,13
Stella,1921,F,3336
Stella,1921,M,9
Stella,1922,F,3164
Stella,1922,M,9
Stella,1923,F,2957
Stella,1923,M,9
Stella,1924,F,2751
Stella,1924,M,6
Stella,1925,F,2403
Stella,1925,M,9
Stella,1926,F,2190
Stella,1926,M,13
Stella,1927,F,2113
Stella,1927,M,11
Stella,1928,F,1803
Stella,1928,M,8
Stella,1929,F,1693
Stella,1929,M,7
Stella,1930,F,1569
Stella,1930,M,8
Stella,1931,F,1417
Stella,1931,M,9
Stella,1932,F,1342
Stella,1932,M,9
Stella,1933,F,1121
Stella,1933,M,7
Stella,1934,F,1094
Stella,1934,M,10
Stella,1935,F,943
Stella,1935,M,9
Stella,1936,F,967
Stella,1936,M,7
Stella,1937,F,917
Stella,1937,M,7
Stella,1938,F,876
Stella,1938,M,9
Stella,1939,F,954
Stella,1939,M,7
Stella,1940,F,962
Stella,1941,F,1023
Stella,1942,F,1126
Stella,1942,M,7
Stella,1943,F,1182
Stella,1944,F,1017
Stella,1945,F,993
Stella,1946,F,1160
Stella,1947,F,1333
Stella,1947,M,5
Stella,1948,F,1343
Stella,1948,M,8
Stella,1949,F,1221
Stella,1950,F,1112
Stella,1951,F,1058
Stella,1952,F,999
Stella,1953,F,957
Stella,1954,F,850
Stella,1955,F,793
Stella,1956,F,764
Stella,1957,F,729
Stella,1957,M,6
Stella,1958,F,684
Stella,1959,F,640
Stella,1959,M,5
Stella,1960,F,620
Stella,1961,F,596
Stella,1962,F,613
Stella,1963,F,541
Stella,1964,F,560
Stella,1965,F,511
Stella,1966,F,429
Stella,1967,F,411
Stella,1968,F,357
Stella,1969,F,318
Stella,1970,F,346
Stella,1971,F,299
Stella,1972,F,285
Stella,1973,F,234
Stella,1974,F,249
Stella,1975,F,252
Stella,1976,F,204
Stella,1977,F,232
Stella,1977,M,5
Stella,1978,F,241
Stella,1979,F,216
Stella,1980,F,229
Stella,1981,F,227
Stella,1982,F,219
Stella,1983,F,208
Stella,1984,F,190
Stella,1985,F,154
Stella,1986,F,149
Stella,1987,F,163
Stella,1988,F,154
Stella,1989,F,168
Stella,1990,F,171
Stella,1991,F,151
Stella,1992,F,169
Stella,1993,F,167
Stella,1994,F,131
Stella,1995,F,125
Stella,1996,F,148
Stella,1997,F,190
Stella,1998,F,233
Stella,1999,F,312
Stella,2000,F,376
Stella,2001,F,422
Stella,2002,F,556
Stella,2003,F,797
Stella,2004,F,1123
Stella,2005,F,1308
Stella,2006,F,1411
Stella,2007,F,1461
Stella,2008,F,1822
Stella,2009,F,2558
Stella,2010,F,3437
Stella,2010,M,7
Stella,2011,F,3689
Stella,2011,M,6
Stella,2012,F,3994
Stella,2012,M,6
Stella,2013,F,3897
Stella,2014,F,4165
Stella,2014,M,6
Mathilda,1880,F,72
Mathilda,1881,F,69
Mathilda,1882,F,68
Mathilda,1883,F,100
Mathilda,1884,F,95
Mathilda,1885,F,102
Mathilda,1886,F,120
Mathilda,1887,F,138
Mathilda,1888,F,133
Mathilda,1889,F,168
Mathilda,1890,F,138
Mathilda,1891,F,138
Mathilda,1892,F,150
Mathilda,1893,F,148
Mathilda,1894,F,136
Mathilda,1895,F,127
Mathilda,1896,F,121
Mathilda,1897,F,108
Mathilda,1898,F,130
Mathilda,1899,F,127
Mathilda,1900,F,113
Mathilda,1901,F,109
Mathilda,1902,F,104
Mathilda,1903,F,88
Mathilda,1904,F,101
Mathilda,1905,F,84
Mathilda,1906,F,102
Mathilda,1907,F,90
Mathilda,1908,F,85
Mathilda,1909,F,84
Mathilda,1910,F,95
Mathilda,1911,F,97
Mathilda,1912,F,120
Mathilda,1913,F,101
Mathilda,1914,F,142
Mathilda,1915,F,146
Mathilda,1916,F,170
Mathilda,1917,F,164
Mathilda,1918,F,180
Mathilda,1919,F,142
Mathilda,1920,F,146
Mathilda,1921,F,147
Mathilda,1922,F,140
Mathilda,1923,F,140
Mathilda,1924,F,113
Mathilda,1925,F,100
Mathilda,1926,F,87
Mathilda,1927,F,79
Mathilda,1928,F,57
Mathilda,1929,F,47
Mathilda,1930,F,47
Mathilda,1931,F,42
Mathilda,1932,F,47
Mathilda,1933,F,31
Mathilda,1934,F,38
Mathilda,1935,F,44
Mathilda,1936,F,37
Mathilda,1937,F,34
Mathilda,1938,F,28
Mathilda,1939,F,28
Mathilda,1940,F,25
Mathilda,1941,F,21
Mathilda,1942,F,22
Mathilda,1943,F,30
Mathilda,1944,F,16
Mathilda,1945,F,19
Mathilda,1946,F,11
Mathilda,1947,F,17
Mathilda,1948,F,17
Mathilda,1949,F,12
Mathilda,1950,F,12
Mathilda,1951,F,13
Mathilda,1952,F,9
Mathilda,1953,F,18
Mathilda,1954,F,9
Mathilda,1955,F,14
Mathilda,1956,F,13
Mathilda,1957,F,16
Mathilda,1958,F,16
Mathilda,1959,F,14
Mathilda,1960,F,10
Mathilda,1961,F,12
Mathilda,1962,F,9
Mathilda,1963,F,12
Mathilda,1964,F,16
Mathilda,1965,F,12
Mathilda,1966,F,11
Mathilda,1967,F,8
Mathilda,1968,F,10
Mathilda,1969,F,6
Mathilda,1970,F,11
Mathilda,1971,F,8
Mathilda,1972,F,6
Mathilda,1973,F,6
Mathilda,1974,F,11
Mathilda,1975,F,5
Mathilda,1976,F,5
Mathilda,1977,F,7
Mathilda,1978,F,8
Mathilda,1979,F,6
Mathilda,1983,F,8
Mathilda,1984,F,7
Mathilda,1985,F,5
Mathilda,1988,F,5
Mathilda,1995,F,12
Mathilda,1996,F,11
Mathilda,1997,F,7
Mathilda,1998,F,22
Mathilda,1999,F,13
Mathilda,2000,F,17
Mathilda,2001,F,20
Mathilda,2002,F,21
Mathilda,2003,F,24
Mathilda,2004,F,20
Mathilda,2005,F,12
Mathilda,2006,F,20
Mathilda,2007,F,19
Mathilda,2008,F,21
Mathilda,2009,F,40
Mathilda,2010,F,34
Mathilda,2011,F,33
Mathilda,2012,F,41
Mathilda,2013,F,32
Mathilda,2014,F,36
